datetime,instrument,0,confidence
2026-04-07,SZ003816,0.1490094,0.96553016
2026-04-07,SZ002028,0.14667052,0.9753328
2026-04-07,SH600489,0.13905317,0.9768038
2026-04-07,SH601998,0.1365973,0.97461873
2026-04-07,SZ000975,0.13464344,0.977984
2026-04-07,SZ000157,0.12683874,0.9719963
2026-04-07,SH603799,0.12680966,0.9702068
2026-04-07,SZ000425,0.11703091,0.98193145
2026-04-07,SZ000338,0.112040155,0.98151624
2026-04-07,SH600196,0.10772502,0.97584087
2026-04-07,SH601899,0.10634788,0.98335934
2026-04-07,SH600233,0.102691405,0.9813281
2026-04-07,SH603288,0.100663625,0.9760833
2026-04-07,SH601021,0.095218025,0.9851134
2026-04-07,SZ000708,0.094469346,0.9762899
2026-04-07,SH688187,0.09375208,0.97799474
2026-04-07,SH601117,0.09316223,0.96992534
2026-04-07,SH600089,0.09111709,0.96553457
2026-04-07,SH601018,0.08955779,0.9809554
2026-04-07,SH600426,0.08854406,0.9781648
2026-04-07,SZ002179,0.088055275,0.9700229
2026-04-07,SH605499,0.08498127,0.9855965
2026-04-07,SH688169,0.08473577,0.966154
2026-04-07,SH688012,0.084633626,0.98211414
2026-04-07,SH600515,0.08387404,0.98376197
2026-04-07,SZ300760,0.08358159,0.97819006
2026-04-07,SH601318,0.083544366,0.9792479
2026-04-07,SZ002001,0.08150873,0.9703771
2026-04-07,SH600547,0.079550065,0.98143893
2026-04-07,SZ002241,0.07935787,0.98600787
2026-04-07,SZ002625,0.077431954,0.9783093
2026-04-07,SH600886,0.07655414,0.977687
2026-04-07,SH600690,0.072641976,0.97558177
2026-04-07,SZ000895,0.07124802,0.9709409
2026-04-07,SH600406,0.070017986,0.977387
2026-04-07,SH600015,0.068267934,0.976224
2026-04-07,SH600482,0.0675622,0.97401613
2026-04-07,SH600009,0.06564332,0.98337585
2026-04-07,SH601939,0.06525477,0.9825456
2026-04-07,SH601127,0.06517414,0.97935665
2026-04-07,SH601166,0.064766414,0.9878444
2026-04-07,SH601689,0.06442281,0.9828386
2026-04-07,SZ002460,0.06409275,0.98083544
2026-04-07,SH600660,0.062701486,0.9810238
2026-04-07,SH600900,0.061881207,0.98946524
2026-04-07,SZ000408,0.061161615,0.9837552
2026-04-07,SH601319,0.05777418,0.9817131
2026-04-07,SZ300015,0.056360014,0.9858937
2026-04-07,SZ000963,0.056225143,0.97952247
2026-04-07,SH601698,0.05406534,0.97978926
2026-04-07,SH603501,0.053693585,0.97996026
2026-04-07,SH600085,0.05287244,0.9835603
2026-04-07,SZ000630,0.05247677,0.98297817
2026-04-07,SH601825,0.052207597,0.98500615
2026-04-07,SZ000001,0.05081957,0.9849894
2026-04-07,SH601377,0.05007062,0.9774278
2026-04-07,SH601077,0.04903876,0.9819749
2026-04-07,SH600893,0.04900173,0.9831807
2026-04-07,SH600161,0.048730277,0.9862396
2026-04-07,SH600029,0.04871904,0.98242754
2026-04-07,SH601688,0.048342876,0.97613686
2026-04-07,SH600845,0.04726685,0.98393536
2026-04-07,SH600025,0.046749942,0.9713419
2026-04-07,SH601398,0.046722107,0.9820394
2026-04-07,SH601601,0.04603789,0.9816456
2026-04-07,SZ002920,0.045974337,0.98122036
2026-04-07,SZ000333,0.044574372,0.97493976
2026-04-07,SH601628,0.04348936,0.9845728
2026-04-07,SH600522,0.043122523,0.9886348
2026-04-07,SH600674,0.04226973,0.98359644
2026-04-07,SH601328,0.04187744,0.9843875
2026-04-07,SZ000768,0.041767754,0.98177254
2026-04-07,SH600875,0.041185223,0.9765554
2026-04-07,SH600023,0.040757976,0.9788618
2026-04-07,SZ000776,0.040531747,0.9832766
2026-04-07,SH600066,0.03950139,0.9753084
2026-04-07,SH600919,0.039464243,0.98553026
2026-04-07,SZ002049,0.038599543,0.98401433
2026-04-07,SH601059,0.037706725,0.98583394
2026-04-07,SZ002050,0.037083216,0.983362
2026-04-07,SH600887,0.036303572,0.9778788
2026-04-07,SH601668,0.036131985,0.98038805
2026-04-07,SH601100,0.03579101,0.98190194
2026-04-07,SZ002601,0.0356033,0.9830836
2026-04-07,SH600036,0.035360627,0.9869797
2026-04-07,SH688008,0.0342957,0.98601127
2026-04-07,SZ300866,0.0340231,0.9765696
2026-04-07,SH600019,0.03389684,0.98147756
