datetime,instrument,0,confidence
2026-04-08,SH688012,0.14793637,0.9643161
2026-04-08,SH601998,0.14249754,0.9769569
2026-04-08,SH600845,0.12865993,0.9828273
2026-04-08,SH600233,0.11978193,0.9730472
2026-04-08,SH600426,0.111350454,0.9810555
2026-04-08,SZ002179,0.11015273,0.9669785
2026-04-08,SH603799,0.10757617,0.9810574
2026-04-08,SZ002371,0.101578616,0.9755146
2026-04-08,SH600111,0.099467926,0.98025525
2026-04-08,SH601698,0.09725308,0.97879076
2026-04-08,SH603288,0.09647306,0.97954214
2026-04-08,SH603392,0.092175625,0.9820317
2026-04-08,SZ300251,0.087813936,0.98010993
2026-04-08,SH601899,0.08531136,0.97476816
2026-04-08,SZ300418,0.084903784,0.97427475
2026-04-08,SH600061,0.078532316,0.9734389
2026-04-08,SH601689,0.07639267,0.9791645
2026-04-08,SH688271,0.07550263,0.9759754
2026-04-08,SZ003816,0.07449653,0.9773472
2026-04-08,SZ000895,0.0733506,0.9846666
2026-04-08,SZ002475,0.07272447,0.98052305
2026-04-08,SH600515,0.07228557,0.9753194
2026-04-08,SZ300124,0.07137815,0.98089737
2026-04-08,SZ002027,0.07089614,0.97980773
2026-04-08,SH600346,0.06853194,0.97649527
2026-04-08,SZ002938,0.06753295,0.96411383
2026-04-08,SH601117,0.06364515,0.97404295
2026-04-08,SH600104,0.06202107,0.98234576
2026-04-08,SZ002028,0.061690845,0.98412675
2026-04-08,SZ002601,0.061202504,0.97991246
2026-04-08,SZ000975,0.06018681,0.979633
2026-04-08,SZ002241,0.059783168,0.9813726
2026-04-08,SZ002709,0.0586539,0.97739923
2026-04-08,SH600066,0.058301114,0.9882504
2026-04-08,SZ000977,0.058143817,0.97215545
2026-04-08,SH600196,0.056490235,0.9723044
2026-04-08,SZ000661,0.05617901,0.9870073
2026-04-08,SH600161,0.053485908,0.98119384
2026-04-08,SH600372,0.05191786,0.97398573
2026-04-08,SH600547,0.05115392,0.9831124
2026-04-08,SH601939,0.050688498,0.97582144
2026-04-08,SH601816,0.050500207,0.9793001
2026-04-08,SH601601,0.050320126,0.9830943
2026-04-08,SH600760,0.047251306,0.9753574
2026-04-08,SH601825,0.046849377,0.9854521
2026-04-08,SH603893,0.046656065,0.9807873
2026-04-08,SH601456,0.046162,0.98052853
2026-04-08,SH601788,0.04603868,0.9776449
2026-04-08,SZ300661,0.045781605,0.9847089
2026-04-08,SH603260,0.044907488,0.98155046
2026-04-08,SZ002920,0.044484623,0.98839134
2026-04-08,SH601166,0.04370164,0.984885
2026-04-08,SH601398,0.041568987,0.9877337
2026-04-08,SZ000630,0.04112365,0.98152876
2026-04-08,SH601988,0.039369307,0.97829103
2026-04-08,SH600000,0.03927078,0.9854696
2026-04-08,SZ002050,0.038911708,0.9803838
2026-04-08,SZ300999,0.037777536,0.98014075
2026-04-08,SZ000938,0.035520934,0.9701751
2026-04-08,SH600900,0.035166584,0.97999763
2026-04-08,SH600489,0.034903914,0.9891671
2026-04-08,SH601808,0.034260698,0.98299754
2026-04-08,SH601888,0.03361036,0.9790288
2026-04-08,SH601328,0.033526696,0.98244214
2026-04-08,SH600183,0.033417948,0.9768297
2026-04-08,SZ000338,0.033225432,0.98794335
2026-04-08,SH600887,0.0331878,0.97928405
2026-04-08,SZ002415,0.032110833,0.9834921
2026-04-08,SZ002236,0.031549156,0.9840105
2026-04-08,SH688256,0.03144893,0.9647502
2026-04-08,SH601169,0.03123746,0.9889353
2026-04-08,SH600188,0.031237341,0.9785462
2026-04-08,SH688396,0.031144507,0.9855784
2026-04-08,SZ300832,0.031104252,0.98622036
2026-04-08,SZ000157,0.030124277,0.9887876
2026-04-08,SZ300413,0.029615484,0.9877253
2026-04-08,SZ000708,0.029091068,0.98453623
2026-04-08,SH600919,0.028851397,0.9793403
2026-04-08,SH600009,0.027597263,0.9856758
2026-04-08,SH601607,0.02708856,0.9798926
2026-04-08,SH688981,0.025896192,0.97671676
2026-04-08,SZ002304,0.02574148,0.9861363
2026-04-08,SZ002049,0.025491767,0.9839167
2026-04-08,SH600519,0.025192045,0.9765261
2026-04-08,SH601021,0.024635606,0.9784389
2026-04-08,SH600415,0.02433905,0.9859758
2026-04-08,SH601111,0.02414643,0.97406614
2026-04-08,SH600570,0.023895308,0.97732306
2026-04-08,SZ000333,0.02371075,0.9782138
2026-04-08,SH600938,0.023417994,0.97838664
2026-04-08,SH600036,0.023373462,0.9807397
2026-04-08,SH603369,0.02316513,0.98540837
2026-04-08,SZ000063,0.022793964,0.9796308
2026-04-08,SZ300760,0.022713289,0.98201895
2026-04-08,SH601059,0.022700183,0.9824341
2026-04-08,SZ002252,0.02266284,0.978238
2026-04-08,SH600958,0.02211491,0.9776202
2026-04-08,SZ300442,0.02188506,0.9748248
2026-04-08,SZ000786,0.021325655,0.97618186
2026-04-08,SH600015,0.02112969,0.97720337
2026-04-08,SZ000538,0.021126159,0.9848423
2026-04-08,SH600460,0.020994969,0.9818079
2026-04-08,SH601298,0.020697318,0.98850805
2026-04-08,SH600019,0.020266868,0.9838267
2026-04-08,SH600918,0.020158999,0.9880655
2026-04-08,SH601006,0.019969098,0.98003656
2026-04-08,SH601318,0.019324578,0.9781673
2026-04-08,SH601360,0.019261725,0.97617596
2026-04-08,SZ300803,0.018964723,0.9782768
2026-04-08,SH603195,0.018884182,0.9759932
2026-04-08,SH601668,0.018513702,0.98665166
2026-04-08,SH688041,0.018479608,0.98124254
2026-04-08,SZ002352,0.017791085,0.97838223
2026-04-08,SZ300015,0.017579816,0.9858483
2026-04-08,SH601600,0.01757463,0.98208433
2026-04-08,SH688126,0.017177336,0.98655397
2026-04-08,SH603501,0.017106362,0.97974193
2026-04-08,SH601127,0.016905203,0.9863424
2026-04-08,SZ300033,0.01657679,0.9795807
2026-04-08,SH601066,0.015315972,0.98504734
2026-04-08,SH601658,0.014445104,0.98485744
2026-04-08,SZ301269,0.014410712,0.98520744
